River,Site,Drainage area (km2),Stream width (m),Latitude,Longitude
Raritan,Upstream,44.55,9.89,40.75317,-74.63401
Raritan,Midstream,105.41,15.27,40.68396,-74.64109
Raritan,Downstream,453.25,27.86,40.59849,-74.67525
Passaic,Upstream,10.77,8.92,40.75668,-74.55421
Passaic,Midstream,140.38,12.48,40.68054,-74.52861
Passaic,Downstream,254.34,22.78,40.72004,-74.39081
